T/B1,B2/Nsur1,Nsur2,Nsur3,Nsur4,Nsur5,Nsur6,Nsub1,Nsub2,Nsub3,Eads,Adsorbate
Co,Fe,Ni,Fe,Co,Co,Co,Fe,Fe,Cu,-2.117393,CO
Co,Co,Fe,Cu,Co,Cu,Co,Cu,Cu,Fe,-2.181302,CO
Co,Co,Cu,Fe,Fe,Cu,Cu,Mo,Fe,Fe,-2.065114,CO
Ni,Fe,Cu,Fe,Fe,Co,Fe,Fe,Fe,Mo,-1.766518,CO
Fe,Ni,Fe,Ni,Cu,Co,Co,Cu,Mo,Mo,-1.91227814,CO
Fe,Cu,Cu,Cu,Ni,Fe,Co,Fe,Fe,Fe,-1.962986,CO
Fe,Cu,Cu,Cu,Ni,Fe,Ni,Mo,Mo,Cu,-1.8639,CO
Ni,Fe,Cu,Co,Cu,Cu,Fe,Mo,Cu,Fe,-1.775248,CO
Cu,Ni,Co,Co,Cu,Fe,Cu,Fe,Fe,Mo,-0.969159,CO
Co,Co,Co,Co,Cu,Cu,Cu,Mo,Fe,Cu,-2.044997,CO
Co,Cu,Fe,Co,Co,Cu,Ni,Fe,Cu,Fe,-2.067363,CO
Co,Fe,Co,Mo,Fe,Co,Ni,Mo,Co,Fe,-2.017771,CO
Fe,Co,Mo,Cu,Fe,Co,Co,Cu,Fe,Fe,-2.074212,CO
Fe,Fe,Cu,Cu,Fe,Ni,Co,Mo,Fe,Fe,-1.909966,CO
Fe,Fe,Cu,Co,Co,Ni,Ni,Co,Fe,Co,-1.831526,CO
Co,Cu,Ni,Fe,Mo,Co,Fe,Co,Ni,Co,-2.208676,CO
Ni,Cu,Co,Co,Fe,Co,Cu,Ni,Mo,Co,-1.778139,CO
Fe,Ni,Co,Ni,Co,Mo,Co,Co,Co,Cu,-1.906191,CO
Co,Fe,Ni,Ni,Cu,Cu,Mo,Mo,Cu,Ni,-2.26158922,CO
Co,Ni,Co,Fe,Co,Ni,Cu,Mo,Mo,Cu,-2.032095,CO
Co,Co,Fe,Fe,Ni,Fe,Ni,Co,Cu,Mo,-2.05967,CO
Cu,Ni,Mo,Cu,Fe,Co,Co,Fe,Fe,Fe,-0.85892171,CO
Fe,Cu,Cu,Fe,Co,Mo,Co,Cu,Fe,Fe,-1.99731759,CO
Co,Fe,Fe,Co,Ni,Cu,Mo,Co,Fe,Fe,-2.0876945,CO
Ni,Co,Co,Mo,Cu,Co,Cu,Mo,Fe,Fe,-1.69339695,CO
Fe,Cu,Co,Cu,Co,Co,Fe,Fe,Fe,Cu,-1.8298305,CO
Co,Fe,Cu,Cu,Mo,Ni,Co,Fe,Cu,Co,-2.179236,CO
Fe,Cu,Mo,Cu,Co,Cu,Mo,Cu,Fe,Mo,-2.26600729,CO
Co,Fe,Cu,Co,Cu,Fe,Cu,Fe,Mo,Co,-2.05593342,CO
Co,Co,Cu,Fe,Mo,Cu,Cu,Cu,Fe,Cu,-2.21687005,CO
Mo,Co,Fe,Co,Cu,Fe,Cu,Fe,Cu,Co,-1.89703183,CO
Cu,Mo,Co,Ni,Co,Co,Fe,Mo,Co,Mo,-0.91580511,CO
Co,Cu,Ni,Cu,Co,Cu,Co,Co,Mo,Fe,-1.94545076,CO
Fe,Co,Co,Mo,Co,Co,Co,Cu,Mo,Mo,-2.18651544,CO
Co,Fe,Mo,Co,Fe,Mo,Co,Mo,Mo,Fe,-2.196139,CO
Fe,Co,Co,Fe,Co,Ni,Mo,Cu,Fe,Fe,-2.042746,CO
Fe,Co,Mo,Fe,Co,Co,Fe,Fe,Fe,Co,-1.982794,CO
Co,Fe,Fe,Ni,Mo,Fe,Co,Mo,Co,Co,-2.129907,CO
Co,Mo,Cu,Mo,Fe,Fe,Co,Fe,Fe,Fe,-2.153616,CO
Co,Ni,Co,Fe,Co,Mo,Cu,Mo,Fe,Cu,-2.109407,CO
Co,Fe,Fe,Fe,Fe,Fe,Ni,Fe,Mo,Mo,-2.13332088,CO
Fe,Ni,Ni,Fe,Ni,Fe,Co,Mo,Fe,Co,-2.0611055,CO
Ni,Cu,Fe,Fe,Cu,Co,Fe,Ni,Co,Fe,-1.80889721,CO
Fe,Fe,Fe,Co,Fe,Ni,Ni,Fe,Cu,Ni,-2.07730311,CO
Ni,Fe,Cu,Co,Fe,Fe,Fe,Fe,Cu,Fe,-1.77662834,CO
Co,Co,Co,Co,Mo,Co,Co,Cu,Mo,Ni,-2.14573982,CO
Ni,Mo,Cu,Fe,Co,Mo,Co,Ni,Mo,Fe,-1.99968653,CO
Fe,Cu,Co,Mo,Co,Co,Ni,Fe,Co,Cu,-1.86460899,CO
Co,Co,Co,Mo,Cu,Mo,Co,Ni,Cu,Fe,-2.2255343,CO
Co,Mo,Co,Co,Co,Co,Mo,Mo,Cu,Cu,-2.02224825,CO
Co,Co,Co,Mo,Co,Mo,Co,Fe,Cu,Ni,-2.1616026,CO
