Element,Ev/atom,Adsorbate,Site,,,Element,Ev/atom,Adsorbate,Site
Co,-1.52882483,CO,1,,0,Co,-1.52882483,CO,1
Fe,-1.66113922,CO,1,,1,Fe,-1.66113922,CO,1
Cu,-1.10847729,CO,1,,2,Cu,-1.10847729,CO,1
Ni,-1.33892897,CO,1,,3,Ni,-1.33892897,CO,1
Mo,-1.57400046,CO,1,,4,Mo,-1.57400046,CO,1
Co,-0.09825323,CO,2,,5,Co,-0.09825323,CO,2
Fe,-0.12936915,CO,2,,6,Fe,-0.12936915,CO,2
Cu,-0.06420337,CO,2,,7,Cu,-0.06420337,CO,2
Ni,-0.07732101,CO,2,,8,Ni,-0.07732101,CO,2
Mo,-0.20146982,CO,2,,9,Mo,-0.20146982,CO,2
Co,-0.08598798,CO,3,,10,Co,-0.08598798,CO,3
Fe,-0.10026797,CO,3,,11,Fe,-0.10026797,CO,3
Cu,-0.0683314,CO,3,,12,Cu,-0.0683314,CO,3
Ni,-0.07538336,CO,3,,13,Ni,-0.07538336,CO,3
Mo,-0.09403925,CO,3,,14,Mo,-0.09403925,CO,3
Co,-0.18057635,CO,4,,15,Co,-0.18057635,CO,4
Fe,-0.23237761,CO,4,,16,Fe,-0.23237761,CO,4
Cu,-0.10783213,CO,4,,17,Cu,-0.10783213,CO,4
Ni,-0.13814999,CO,4,,18,Ni,-0.13814999,CO,4
Mo,-0.21400547,CO,4,,19,Mo,-0.21400547,CO,4
Co,0.00409314,CO,5,,20,Co,0.00409314,CO,5
Fe,-0.00235725,CO,5,,21,Fe,-0.00235725,CO,5
Cu,-0.00392893,CO,5,,22,Cu,-0.00392893,CO,5
Ni,0.00201868,CO,5,,23,Ni,0.00201868,CO,5
Mo,-0.16808032,CO,5,,24,Mo,-0.16808032,CO,5
Co,0.07369931,CO,6,,25,Co,0.07369931,CO,6
Fe,0.09120386,CO,6,,26,Fe,0.09120386,CO,6
Cu,0.03697651,CO,6,,27,Cu,0.03697651,CO,6
Ni,0.05484451,CO,6,,28,Ni,0.05484451,CO,6
Mo,0.03263316,CO,6,,29,Mo,0.03263316,CO,6
Co,-0.06405453,CO,7,,30,Co,-0.06405453,CO,7
Fe,-0.07415471,CO,7,,31,Fe,-0.07415471,CO,7
Cu,-0.0541736,CO,7,,32,Cu,-0.0541736,CO,7
Ni,-0.05768143,CO,7,,33,Ni,-0.05768143,CO,7
Mo,-0.09039473,CO,7,,34,Mo,-0.09039473,CO,7
